"Context","SurveyID","SurveyName","QuestionType","QuestionID","QuestionName","Stage","SurveyVersionID","SubjectObjectType","Journey","Scale","VersionNumber","StageOrder"
"Customer CSAT","SURVEY-001","Acquisition Satisfaction","Rating","QUESTION-001","How would you rate your overall product evaluation experience before purchasing Prismatic?","Acquisition","SURVEY_VERSION-001","Account","Prismatic CSAT Journey",5,1,1
"Customer CSAT","SURVEY-002","Onboarding Satisfaction","Rating","QUESTION-002","How satisfied were you with your onboarding experience?","Onboarding","SURVEY_VERSION-002","Contact","Prismatic CSAT Journey",5,1,2
"Customer CSAT","SURVEY-003","Support Satisfaction","Rating","QUESTION-003","How would you rate your overall satisfaction with the support you received?","Support","SURVEY_VERSION-003","Case","Prismatic CSAT Journey",5,1,3
"Customer CSAT","SURVEY-004","Engagement Satisfaction","Rating","QUESTION-004","How satisfied were you with the recent ""What's New with Prismatic"" webinar?","Engagement","SURVEY_VERSION-004","Account","Prismatic CSAT Journey",5,1,4
"Customer CSAT","SURVEY-005","Renewal Satisfaction","Rating","QUESTION-005","How would you rate your overall renewal experience?","Renewal","SURVEY_VERSION-005","Account","Prismatic CSAT Journey",5,1,5
"Customer CSAT","SURVEY-006","Acquisition Satisfaction","Rating","QUESTION-006","How would you rate your overall product evaluation experience before purchasing Oasis?","Acquisition","SURVEY_VERSION-006","Account","Oasis CSAT Journey",5,1,1
"Customer CSAT","SURVEY-007","Onboarding Satisfaction","Rating","QUESTION-007","How satisfied were you with your overall onboarding experience?","Onboarding","SURVEY_VERSION-007","Contact","Oasis CSAT Journey",5,1,2
"Customer CSAT","SURVEY-008","Support Satisfaction","Rating","QUESTION-008","How would you rate your overall satisfaction with the support you received?","Support","SURVEY_VERSION-008","Case","Oasis CSAT Journey",5,1,3
"Customer CSAT","SURVEY-009","Engagement Satisfaction","Rating","QUESTION-009","How would you rate your overall satisfaction of the Oasis training you attended?","Engagement","SURVEY_VERSION-009","Account","Oasis CSAT Journey",5,1,4
"Customer CSAT","SURVEY-010","Renewal Satisfaction","Rating","QUESTION-010","How would you rate your overall renewal experience?","Renewal","SURVEY_VERSION-010","Account","Oasis CSAT Journey",5,1,5