"ProductCode","Family","Id","Name"
"W_Product.1","Tires & Wheels","01tB00000001HGBIA2","Tires and Wheels"
"W_Product.2","Car Accessories","01tB00000001HGCIA2","Car Care"
"W_Product.3","Car Electronics","01tB00000001HGDIA2","Electronics"
"W_Product.4","Car Accessories","01tB00000001HGEIA2","Batteries"
"W_Product.5","Car Accessories","01tB00000001HGFIA2","Interior Accessories"
"W_Product.6","Car Accessories","01tB00000001HGGIA2","Towing Equioment"
"W_Product.7","Car Accessories","01tB00000001HGHIA2","Exterior Accessories"
"W_Product.8","Performance & Non-auto","01tB00000001HGIIA2","Motorcycle Parts"
"W_Product.9","Performance & Non-auto","01tB00000001HGJIA2","RV Shelters"
"W_Product.10","Performance & Non-auto","01tB00000001HGKIA2","Performance"
"W_Product.11","Car Accessories","01tB00000001HGLIA2","Replacement Parts"